,TransactionID,Date,Region,Store,ProductCategory,Product,Quantity,UnitPrice,TotalAmount,Year
23,24,2024-03-26,Sur,Tienda C,Lácteos,Queso,17,13.68,232.56,2024
24,25,2024-12-23,Sur,Tienda A,Bebidas,Pepsi,8,38.01,304.08,2024
25,26,2024-07-17,Oeste,Tienda D,Bebidas,Coca-Cola,6,11.19,67.14,2024
26,27,2024-05-06,Norte,Tienda C,Bebidas,Jugo de Naranja,4,10.06,40.24,2024
27,28,2024-05-24,Oeste,Tienda D,Frutas,Uva,18,38.98,701.64,2024
28,29,2024-11-23,Oeste,Tienda A,Carnes,Cerdo,2,20.36,40.72,2024
29,30,2024-01-31,Este,Tienda C,Lácteos,Leche,4,30.3,121.2,2024
30,31,2023-10-29,Este,Tienda D,Bebidas,Coca-Cola,16,17.0,272.0,2023
31,32,2023-01-11,Oeste,Tienda B,Snacks,Papas Fritas,14,10.6,148.4,2023
32,33,2024-10-16,Sur,Tienda B,Snacks,Nachos,8,42.38,339.04,2024
33,34,2024-12-18,Sur,Tienda C,Frutas,Uva,13,14.3,185.9,2024
34,35,2024-10-03,Este,Tienda A,Frutas,Banano,13,7.91,102.83,2024
35,36,2024-02-25,Norte,Tienda B,Bebidas,Pepsi,15,9.1,136.5,2024
36,37,2024-11-06,Sur,Tienda B,Frutas,Mango,7,21.75,152.25,2024
37,38,2023-03-31,Sur,Tienda B,Verduras,Cebolla,1,10.74,10.74,2023
38,39,2023-06-24,Norte,Tienda B,Frutas,Banano,11,10.74,118.14,2023
39,40,2023-07-30,Norte,Tienda B,Carnes,Res,8,36.72,293.76,2023
40,41,2023-03-16,Oeste,Tienda C,Carnes,Cerdo,1,30.69,30.69,2023
41,42,2023-12-01,Sur,Tienda D,Carnes,Pescado,10,18.56,185.6,2023
42,43,2024-07-15,Sur,Tienda A,Bebidas,Pepsi,9,45.83,412.47,2024
43,44,2023-03-23,Sur,Tienda D,Frutas,Uva,9,31.54,283.86,2023
44,45,2024-02-21,Sur,Tienda A,Snacks,Nachos,2,5.68,11.36,2024
45,46,2024-10-08,Este,Tienda D,Lácteos,Yogurt,5,36.75,183.75,2024
46,47,2024-09-18,Sur,Tienda B,Snacks,Papas Fritas,8,14.46,115.68,2024
47,48,2024-10-20,Sur,Tienda C,Verduras,Tomate,3,24.14,72.42,2024
48,49,2024-06-09,Este,Tienda A,Bebidas,Agua,5,48.61,243.05,2024
49,50,2024-01-21,Norte,Tienda A,Bebidas,Jugo de Naranja,3,38.28,114.84,2024
50,51,2023-01-30,Oeste,Tienda A,Lácteos,Yogurt,14,25.2,352.8,2023
51,52,2024-04-12,Este,Tienda B,Verduras,Zanahoria,9,35.82,322.38,2024
52,53,2023-08-25,Norte,Tienda B,Bebidas,Jugo de Naranja,10,22.53,225.3,2023
53,54,2023-01-30,Norte,Tienda D,Lácteos,Mantequilla,19,2.54,48.26,2023
54,55,2023-06-07,Este,Tienda C,Frutas,Manzana,7,24.29,170.03,2023
55,56,2023-10-16,Oeste,Tienda D,Frutas,Uva,4,45.47,181.88,2023
56,57,2023-05-04,Este,Tienda C,Snacks,Nachos,7,21.11,147.77,2023
57,58,2023-11-18,Norte,Tienda D,Carnes,Res,11,10.95,120.45,2023
58,59,2023-05-15,Este,Tienda C,Snacks,Nachos,13,4.77,62.01,2023
59,60,2023-07-26,Norte,Tienda C,Frutas,Banano,19,8.9,169.1,2023
60,61,2023-11-13,Este,Tienda B,Bebidas,Pepsi,2,31.59,63.18,2023
61,62,2023-03-12,Norte,Tienda A,Bebidas,Coca-Cola,6,23.37,140.22,2023
62,63,2024-06-01,Sur,Tienda D,Bebidas,Coca-Cola,12,10.14,121.68,2024
63,64,2024-04-06,Oeste,Tienda B,Snacks,Nachos,11,16.89,185.79,2024
64,65,2023-06-28,Sur,Tienda A,Snacks,Nachos,7,45.43,318.01,2023
65,66,2023-04-21,Este,Tienda A,Carnes,Pollo,1,12.17,12.17,2023
66,67,2023-10-10,Norte,Tienda D,Verduras,Tomate,13,43.18,561.34,2023
67,68,2024-06-25,Oeste,Tienda A,Bebidas,Agua,7,9.07,63.49,2024
68,69,2023-08-19,Sur,Tienda C,Verduras,Tomate,9,24.76,222.84,2023
69,70,2023-10-04,Este,Tienda D,Carnes,Cerdo,1,6.87,6.87,2023
70,71,2024-11-28,Norte,Tienda C,Frutas,Uva,12,12.96,155.52,2024
71,72,2024-07-08,Este,Tienda A,Frutas,Mango,9,20.79,187.11,2024
72,73,2023-09-01,Norte,Tienda D,Snacks,Chocolatina,17,13.44,228.48,2023
73,74,2024-06-15,Oeste,Tienda D,Snacks,Papas Fritas,12,13.34,160.08,2024
74,75,2024-04-11,Oeste,Tienda D,Carnes,Cerdo,2,35.9,71.8,2024
75,76,2024-10-13,Este,Tienda C,Bebidas,Agua,5,14.96,74.8,2024
76,77,2023-03-26,Este,Tienda D,Carnes,Pescado,17,14.07,239.19,2023
77,78,2024-02-24,Sur,Tienda D,Lácteos,Yogurt,2,25.63,51.26,2024
78,79,2023-12-02,Norte,Tienda D,Frutas,Mango,5,17.91,89.55,2023
79,80,2024-03-29,Este,Tienda C,Carnes,Pescado,1,12.74,12.74,2024
80,81,2024-06-01,Este,Tienda D,Snacks,Nachos,2,27.02,54.04,2024
81,82,2023-04-25,Oeste,Tienda A,Frutas,Uva,6,12.86,77.16,2023
82,83,2024-12-19,Oeste,Tienda B,Verduras,Papa,4,4.96,19.84,2024
83,84,2023-12-05,Oeste,Tienda B,Bebidas,Jugo de Naranja,17,36.68,623.56,2023
84,85,2024-07-05,Sur,Tienda A,Lácteos,Leche,5,31.98,159.9,2024
85,86,2024-02-04,Oeste,Tienda A,Snacks,Galletas,6,20.54,123.24,2024
86,87,2024-01-10,Oeste,Tienda B,Lácteos,Leche,16,40.12,641.92,2024
87,88,2024-11-27,Este,Tienda D,Snacks,Chocolatina,9,16.72,150.48,2024
88,89,2024-09-16,Norte,Tienda C,Bebidas,Pepsi,6,35.09,210.54,2024
89,90,2023-08-17,Sur,Tienda B,Verduras,Papa,3,29.95,89.85,2023
90,91,2023-10-10,Oeste,Tienda D,Bebidas,Pepsi,4,1.81,7.24,2023
91,92,2024-12-27,Este,Tienda D,Carnes,Pollo,3,40.67,122.01,2024
92,93,2024-07-28,Sur,Tienda D,Snacks,Galletas,7,9.54,66.78,2024
93,94,2024-03-11,Sur,Tienda C,Verduras,Cebolla,1,20.48,20.48,2024
94,95,2023-06-26,Oeste,Tienda B,Lácteos,Yogurt,7,46.9,328.3,2023
95,96,2024-01-19,Oeste,Tienda C,Lácteos,Yogurt,1,34.11,34.11,2024
96,97,2023-10-16,Norte,Tienda B,Frutas,Uva,18,46.31,833.58,2023
97,98,2024-02-04,Este,Tienda C,Frutas,Banano,10,13.64,136.4,2024
98,99,2023-02-26,Este,Tienda A,Lácteos,Leche,16,41.04,656.64,2023
99,100,2024-06-04,Sur,Tienda D,Carnes,Cerdo,17,12.85,218.45,2024
100,101,2024-08-11,Este,Tienda D,Snacks,Nachos,16,48.31,772.96,2024
101,102,2024-08-11,Este,Tienda B,Lácteos,Mantequilla,5,45.12,225.6,2024
102,103,2024-04-02,Sur,Tienda C,Bebidas,Pepsi,9,14.66,131.94,2024
103,104,2023-09-26,Norte,Tienda B,Bebidas,Agua,19,36.57,694.83,2023
104,105,2024-06-04,Norte,Tienda B,Bebidas,Agua,3,42.96,128.88,2024
105,106,2023-08-04,Norte,Tienda C,Bebidas,Pepsi,1,32.46,32.46,2023
106,107,2023-04-29,Oeste,Tienda C,Verduras,Zanahoria,11,46.85,515.35,2023
107,108,2024-04-03,Sur,Tienda C,Bebidas,Coca-Cola,4,45.03,180.12,2024
108,109,2023-05-11,Sur,Tienda B,Bebidas,Agua,3,19.24,57.72,2023
109,110,2024-11-05,Norte,Tienda D,Lácteos,Yogurt,3,48.71,146.13,2024
110,111,2024-02-10,Oeste,Tienda B,Carnes,Pollo,18,8.88,159.84,2024
111,112,2023-01-04,Oeste,Tienda B,Bebidas,Jugo de Naranja,18,24.8,446.4,2023
112,113,2024-03-04,Norte,Tienda C,Frutas,Uva,3,32.95,98.85,2024
113,114,2023-06-04,Sur,Tienda A,Carnes,Pescado,9,9.62,86.58,2023
114,115,2024-12-23,Oeste,Tienda C,Bebidas,Agua,4,12.63,50.52,2024
115,116,2024-05-24,Norte,Tienda B,Verduras,Papa,16,37.58,601.28,2024
116,117,2023-03-01,Oeste,Tienda C,Carnes,Cerdo,8,42.61,340.88,2023
117,118,2024-07-15,Oeste,Tienda C,Verduras,Papa,17,16.09,273.53,2024
118,119,2023-10-04,Sur,Tienda C,Snacks,Galletas,16,5.59,89.44,2023
119,120,2023-08-03,Norte,Tienda A,Carnes,Res,19,32.18,611.42,2023
120,121,2024-07-31,Norte,Tienda B,Carnes,Cerdo,14,29.9,418.6,2024
121,122,2024-09-10,Norte,Tienda B,Carnes,Pollo,6,20.26,121.56,2024
122,123,2023-08-06,Sur,Tienda B,Frutas,Uva,8,31.93,255.44,2023
123,124,2024-06-10,Oeste,Tienda B,Carnes,Pescado,2,18.15,36.3,2024
124,125,2024-06-27,Oeste,Tienda B,Lácteos,Queso,1,29.27,29.27,2024
125,126,2024-02-11,Sur,Tienda C,Snacks,Chocolatina,1,10.57,10.57,2024
126,127,2023-03-15,Oeste,Tienda C,Snacks,Galletas,16,14.76,236.16,2023
127,128,2023-08-22,Sur,Tienda B,Lácteos,Mantequilla,3,38.66,115.98,2023
128,129,2024-10-07,Este,Tienda D,Lácteos,Leche,17,49.73,845.41,2024
129,130,2023-12-02,Sur,Tienda A,Carnes,Res,14,45.83,641.62,2023
130,131,2024-12-23,Sur,Tienda A,Carnes,Res,3,37.64,112.92,2024
131,132,2024-06-30,Norte,Tienda C,Lácteos,Queso,5,46.49,232.45,2024
132,133,2024-08-05,Norte,Tienda D,Bebidas,Agua,17,28.09,477.53,2024
133,134,2024-09-04,Oeste,Tienda C,Verduras,Cebolla,3,49.04,147.12,2024
134,135,2024-06-29,Oeste,Tienda C,Frutas,Banano,1,16.53,16.53,2024
135,136,2023-07-16,Este,Tienda C,Verduras,Zanahoria,18,28.28,509.04,2023
136,137,2024-11-03,Este,Tienda B,Carnes,Pescado,3,28.93,86.79,2024
137,138,2024-08-06,Oeste,Tienda D,Snacks,Papas Fritas,18,31.14,560.52,2024
138,139,2024-07-27,Oeste,Tienda A,Snacks,Nachos,2,13.45,26.9,2024
139,140,2024-09-24,Sur,Tienda C,Frutas,Uva,10,43.99,439.9,2024
140,141,2023-03-18,Sur,Tienda A,Verduras,Papa,17,42.58,723.86,2023
141,142,2024-04-13,Este,Tienda C,Snacks,Galletas,9,35.42,318.78,2024
142,143,2024-12-27,Este,Tienda D,Lácteos,Leche,16,28.09,449.44,2024
143,144,2023-02-24,Sur,Tienda A,Lácteos,Yogurt,10,40.66,406.6,2023
144,145,2024-01-03,Norte,Tienda A,Frutas,Manzana,3,13.55,40.65,2024
145,146,2023-12-06,Sur,Tienda B,Verduras,Tomate,13,5.0,65.0,2023
146,147,2023-09-18,Norte,Tienda D,Lácteos,Yogurt,7,25.57,178.99,2023
147,148,2024-05-03,Sur,Tienda B,Verduras,Tomate,13,10.52,136.76,2024
148,149,2024-07-05,Oeste,Tienda B,Frutas,Banano,8,35.4,283.2,2024
149,150,2024-02-14,Norte,Tienda C,Bebidas,Pepsi,16,3.49,55.84,2024
150,151,2024-04-02,Norte,Tienda A,Frutas,Mango,19,17.56,333.64,2024
151,152,2023-09-27,Sur,Tienda A,Carnes,Pollo,2,5.61,11.22,2023
152,153,2023-02-27,Este,Tienda C,Frutas,Uva,19,23.81,452.39,2023
153,154,2023-01-31,Sur,Tienda D,Snacks,Nachos,17,2.83,48.11,2023
154,155,2023-04-18,Norte,Tienda C,Verduras,Papa,6,15.86,95.16,2023
155,156,2023-09-21,Sur,Tienda C,Snacks,Galletas,11,7.23,79.53,2023
156,157,2024-05-30,Norte,Tienda B,Frutas,Mango,1,41.57,41.57,2024
157,158,2024-10-25,Este,Tienda B,Carnes,Res,12,48.3,579.6,2024
158,159,2024-01-10,Oeste,Tienda D,Bebidas,Jugo de Naranja,7,5.18,36.26,2024
159,160,2023-11-04,Sur,Tienda D,Lácteos,Leche,13,10.52,136.76,2023
160,161,2023-06-27,Este,Tienda A,Bebidas,Jugo de Naranja,15,35.28,529.2,2023
161,162,2024-08-14,Este,Tienda B,Frutas,Manzana,8,36.58,292.64,2024
162,163,2023-09-08,Norte,Tienda A,Carnes,Pollo,13,48.51,630.63,2023
163,164,2024-01-22,Sur,Tienda D,Snacks,Papas Fritas,10,16.82,168.2,2024
164,165,2024-01-26,Oeste,Tienda A,Snacks,Chocolatina,17,20.54,349.18,2024
165,166,2023-09-30,Este,Tienda B,Carnes,Pollo,19,22.51,427.69,2023
166,167,2024-12-17,Sur,Tienda A,Snacks,Chocolatina,5,10.03,50.15,2024
167,168,2024-03-30,Norte,Tienda B,Snacks,Galletas,9,34.74,312.66,2024
168,169,2024-08-01,Este,Tienda B,Verduras,Tomate,1,9.49,9.49,2024
169,170,2024-08-12,Este,Tienda A,Bebidas,Coca-Cola,1,22.68,22.68,2024
170,171,2023-10-06,Este,Tienda C,Carnes,Pescado,16,9.96,159.36,2023
171,172,2023-04-23,Norte,Tienda C,Lácteos,Leche,13,14.72,191.36,2023
172,173,2023-10-27,Oeste,Tienda B,Verduras,Zanahoria,16,26.32,421.12,2023
173,174,2023-05-13,Sur,Tienda A,Carnes,Pescado,5,30.97,154.85,2023
174,175,2023-12-09,Sur,Tienda D,Snacks,Papas Fritas,3,13.14,39.42,2023
175,176,2024-08-23,Oeste,Tienda A,Verduras,Zanahoria,16,8.77,140.32,2024
176,177,2024-01-26,Oeste,Tienda B,Verduras,Zanahoria,14,5.5,77.0,2024
177,178,2024-06-21,Sur,Tienda A,Verduras,Zanahoria,15,3.0,45.0,2024
178,179,2024-11-26,Norte,Tienda C,Bebidas,Coca-Cola,14,49.0,686.0,2024
179,180,2024-07-10,Sur,Tienda C,Bebidas,Coca-Cola,5,24.23,121.15,2024
180,181,2023-04-06,Este,Tienda B,Lácteos,Yogurt,16,40.54,648.64,2023
181,182,2024-09-19,Oeste,Tienda B,Carnes,Cerdo,4,9.49,37.96,2024
182,183,2023-11-13,Este,Tienda B,Verduras,Tomate,5,20.53,102.65,2023
183,184,2024-07-20,Oeste,Tienda B,Bebidas,Pepsi,10,47.51,475.1,2024
184,185,2024-09-05,Oeste,Tienda D,Frutas,Mango,4,3.22,12.88,2024
185,186,2024-03-17,Este,Tienda C,Lácteos,Queso,10,31.67,316.7,2024
186,187,2024-07-28,Este,Tienda D,Lácteos,Leche,1,27.43,27.43,2024
187,188,2023-02-02,Norte,Tienda B,Frutas,Uva,13,8.98,116.74,2023
188,189,2023-04-19,Este,Tienda C,Verduras,Zanahoria,16,32.48,519.68,2023
189,190,2023-01-27,Sur,Tienda B,Bebidas,Pepsi,17,43.49,739.33,2023
190,191,2023-10-01,Oeste,Tienda C,Snacks,Papas Fritas,12,20.02,240.24,2023
191,192,2024-09-08,Este,Tienda D,Carnes,Pollo,1,23.45,23.45,2024
192,193,2024-08-05,Norte,Tienda B,Carnes,Cerdo,19,41.21,782.99,2024
193,194,2023-11-08,Sur,Tienda B,Verduras,Papa,12,19.92,239.04,2023
194,195,2023-12-06,Sur,Tienda B,Frutas,Manzana,1,32.92,32.92,2023
195,196,2024-09-26,Este,Tienda D,Snacks,Galletas,11,10.59,116.49,2024
196,197,2024-06-26,Sur,Tienda A,Bebidas,Pepsi,13,11.51,149.63,2024
197,198,2023-11-01,Sur,Tienda A,Snacks,Chocolatina,14,1.89,26.46,2023
198,199,2024-11-20,Oeste,Tienda C,Lácteos,Yogurt,19,31.29,594.51,2024
199,200,2023-01-04,Oeste,Tienda A,Snacks,Papas Fritas,17,33.13,563.21,2023
200,201,2024-07-15,Sur,Tienda D,Frutas,Mango,10,2.14,21.4,2024
201,202,2023-06-04,Norte,Tienda B,Lácteos,Mantequilla,2,13.77,27.54,2023
202,203,2023-06-15,Oeste,Tienda C,Carnes,Cerdo,7,6.79,47.53,2023
203,204,2024-08-01,Este,Tienda A,Lácteos,Mantequilla,18,31.82,572.76,2024
204,205,2023-06-06,Sur,Tienda B,Verduras,Cebolla,4,21.48,85.92,2023
205,206,2023-03-20,Sur,Tienda C,Snacks,Nachos,4,9.69,38.76,2023
206,207,2023-01-24,Norte,Tienda A,Carnes,Res,9,28.86,259.74,2023
207,208,2024-03-02,Norte,Tienda A,Carnes,Res,3,49.53,148.59,2024
208,209,2023-12-20,Sur,Tienda D,Snacks,Papas Fritas,16,7.26,116.16,2023
209,210,2024-08-17,Oeste,Tienda D,Snacks,Nachos,17,39.04,663.68,2024
210,211,2023-03-07,Sur,Tienda B,Snacks,Galletas,5,12.69,63.45,2023
211,212,2024-12-20,Norte,Tienda D,Snacks,Galletas,13,37.26,484.38,2024
212,213,2023-05-18,Norte,Tienda A,Carnes,Pescado,3,6.05,18.15,2023
213,214,2024-09-07,Norte,Tienda B,Carnes,Pollo,17,27.18,462.06,2024
214,215,2023-11-03,Oeste,Tienda A,Frutas,Banano,16,20.09,321.44,2023
215,216,2023-03-25,Este,Tienda B,Frutas,Manzana,13,44.88,583.44,2023
216,217,2023-04-28,Sur,Tienda A,Verduras,Papa,17,3.62,61.54,2023
217,218,2023-08-15,Este,Tienda D,Lácteos,Leche,9,42.51,382.59,2023
218,219,2024-10-10,Oeste,Tienda C,Snacks,Nachos,9,16.65,149.85,2024
219,220,2024-02-27,Oeste,Tienda A,Lácteos,Leche,14,34.16,478.24,2024
220,221,2023-11-14,Sur,Tienda A,Snacks,Chocolatina,19,25.16,478.04,2023
221,222,2024-12-11,Norte,Tienda A,Lácteos,Yogurt,16,22.97,367.52,2024
222,223,2023-01-05,Este,Tienda D,Bebidas,Agua,3,30.52,91.56,2023
223,224,2023-07-02,Norte,Tienda D,Frutas,Mango,4,47.36,189.44,2023
224,225,2024-01-01,Norte,Tienda D,Lácteos,Mantequilla,16,39.69,635.04,2024
225,226,2023-06-28,Este,Tienda B,Frutas,Uva,13,46.62,606.06,2023
226,227,2023-11-29,Este,Tienda C,Carnes,Pollo,7,49.8,348.6,2023
227,228,2024-06-16,Norte,Tienda D,Verduras,Cebolla,5,37.11,185.55,2024
228,229,2024-07-12,Oeste,Tienda C,Frutas,Banano,11,35.59,391.49,2024
229,230,2024-03-29,Sur,Tienda D,Lácteos,Queso,15,8.01,120.15,2024
230,231,2024-06-18,Norte,Tienda A,Bebidas,Pepsi,10,42.01,420.1,2024
231,232,2023-06-15,Norte,Tienda C,Carnes,Res,17,5.96,101.32,2023
232,233,2023-09-29,Oeste,Tienda C,Frutas,Banano,7,21.88,153.16,2023
233,234,2023-03-21,Sur,Tienda D,Bebidas,Agua,8,4.57,36.56,2023
234,235,2023-11-11,Este,Tienda D,Bebidas,Pepsi,18,44.7,804.6,2023
235,236,2023-03-30,Norte,Tienda B,Carnes,Pescado,2,4.99,9.98,2023
236,237,2023-06-01,Norte,Tienda A,Carnes,Pollo,5,12.43,62.15,2023
237,238,2023-07-26,Este,Tienda B,Snacks,Chocolatina,8,19.34,154.72,2023
238,239,2024-11-26,Norte,Tienda C,Frutas,Banano,1,44.14,44.14,2024
239,240,2024-10-22,Norte,Tienda C,Frutas,Banano,17,47.42,806.14,2024
240,241,2024-09-17,Oeste,Tienda A,Verduras,Zanahoria,13,37.92,492.96,2024
241,242,2023-04-08,Oeste,Tienda C,Snacks,Nachos,6,35.7,214.2,2023
242,243,2024-05-26,Oeste,Tienda D,Bebidas,Coca-Cola,19,39.08,742.52,2024
243,244,2024-12-22,Este,Tienda D,Carnes,Pollo,7,21.79,152.53,2024
244,245,2024-07-25,Este,Tienda B,Frutas,Banano,19,6.45,122.55,2024
245,246,2024-01-18,Oeste,Tienda B,Snacks,Chocolatina,3,13.43,40.29,2024
246,247,2023-02-19,Este,Tienda D,Snacks,Chocolatina,18,23.96,431.28,2023
247,248,2023-05-22,Sur,Tienda A,Lácteos,Queso,8,6.76,54.08,2023
248,249,2024-12-07,Oeste,Tienda C,Snacks,Chocolatina,9,37.47,337.23,2024
249,250,2023-08-22,Este,Tienda D,Snacks,Chocolatina,3,29.59,88.77,2023
250,251,2023-08-17,Norte,Tienda A,Snacks,Nachos,17,5.06,86.02,2023
251,252,2023-09-28,Este,Tienda B,Frutas,Uva,1,11.96,11.96,2023
252,253,2023-11-24,Oeste,Tienda C,Lácteos,Yogurt,6,40.3,241.8,2023
253,254,2024-01-31,Norte,Tienda C,Lácteos,Queso,13,48.52,630.76,2024
254,255,2023-11-07,Sur,Tienda D,Frutas,Manzana,15,44.67,670.05,2023
255,256,2023-03-06,Norte,Tienda A,Lácteos,Queso,11,46.04,506.44,2023
256,257,2024-04-11,Este,Tienda B,Bebidas,Agua,4,28.14,112.56,2024
257,258,2023-06-09,Oeste,Tienda C,Snacks,Nachos,18,9.14,164.52,2023
258,259,2023-01-02,Sur,Tienda A,Verduras,Cebolla,17,35.09,596.53,2023
259,260,2024-01-29,Norte,Tienda A,Lácteos,Yogurt,1,31.75,31.75,2024
260,261,2024-05-03,Oeste,Tienda C,Lácteos,Mantequilla,3,45.16,135.48,2024
261,262,2024-07-13,Norte,Tienda A,Frutas,Mango,11,14.77,162.47,2024
262,263,2023-01-06,Norte,Tienda B,Carnes,Pollo,16,44.62,713.92,2023
263,264,2023-03-24,Oeste,Tienda D,Carnes,Pollo,12,6.23,74.76,2023
264,265,2024-03-09,Oeste,Tienda C,Frutas,Uva,8,9.31,74.48,2024
265,266,2024-01-01,Norte,Tienda A,Snacks,Nachos,4,23.72,94.88,2024
266,267,2024-01-02,Este,Tienda A,Lácteos,Mantequilla,18,14.03,252.54,2024
267,268,2024-11-02,Norte,Tienda A,Snacks,Galletas,5,48.75,243.75,2024
268,269,2023-09-13,Este,Tienda B,Lácteos,Leche,17,14.71,250.07,2023
269,270,2023-03-26,Sur,Tienda A,Snacks,Galletas,13,34.55,449.15,2023
270,271,2023-09-15,Este,Tienda C,Frutas,Uva,13,45.64,593.32,2023
271,272,2023-06-12,Norte,Tienda D,Lácteos,Queso,6,47.54,285.24,2023
272,273,2023-01-25,Oeste,Tienda C,Bebidas,Jugo de Naranja,5,31.06,155.3,2023
273,274,2023-01-24,Este,Tienda A,Snacks,Papas Fritas,2,5.05,10.1,2023
274,275,2024-06-05,Este,Tienda A,Lácteos,Yogurt,18,28.03,504.54,2024
275,276,2023-08-21,Oeste,Tienda B,Verduras,Tomate,5,2.29,11.45,2023
276,277,2023-06-03,Norte,Tienda A,Verduras,Cebolla,1,39.1,39.1,2023
277,278,2023-05-10,Norte,Tienda A,Carnes,Cerdo,18,49.38,888.84,2023
278,279,2024-03-23,Norte,Tienda C,Verduras,Tomate,17,19.46,330.82,2024
279,280,2024-09-03,Este,Tienda A,Carnes,Res,17,42.08,715.36,2024
280,281,2023-12-11,Oeste,Tienda D,Lácteos,Leche,2,2.8,5.6,2023
281,282,2023-06-24,Norte,Tienda D,Snacks,Nachos,1,1.67,1.67,2023
282,283,2024-03-03,Oeste,Tienda B,Bebidas,Coca-Cola,6,34.89,209.34,2024
283,284,2024-01-02,Este,Tienda B,Carnes,Cerdo,5,49.99,249.95,2024
284,285,2024-06-11,Sur,Tienda C,Carnes,Cerdo,6,45.75,274.5,2024
285,286,2023-08-26,Oeste,Tienda D,Verduras,Cebolla,5,36.58,182.9,2023
286,287,2023-10-14,Sur,Tienda D,Frutas,Mango,10,42.63,426.3,2023
287,288,2023-05-04,Norte,Tienda B,Snacks,Nachos,17,12.81,217.77,2023
288,289,2024-01-15,Este,Tienda A,Lácteos,Leche,9,7.33,65.97,2024
289,290,2023-08-23,Oeste,Tienda C,Carnes,Pollo,19,14.46,274.74,2023
290,291,2024-04-25,Sur,Tienda D,Carnes,Cerdo,4,12.2,48.8,2024
291,292,2024-11-19,Sur,Tienda D,Verduras,Zanahoria,17,38.09,647.53,2024
292,293,2024-09-04,Sur,Tienda A,Carnes,Res,2,18.55,37.1,2024
293,294,2023-08-17,Norte,Tienda A,Bebidas,Jugo de Naranja,8,2.09,16.72,2023
294,295,2024-09-20,Este,Tienda B,Carnes,Pollo,2,24.33,48.66,2024
295,296,2024-07-17,Este,Tienda D,Lácteos,Queso,3,26.49,79.47,2024
296,297,2023-07-05,Este,Tienda A,Snacks,Papas Fritas,12,41.0,492.0,2023
297,298,2024-08-19,Este,Tienda D,Lácteos,Mantequilla,12,28.49,341.88,2024
298,299,2023-03-12,Este,Tienda B,Frutas,Manzana,17,7.57,128.69,2023
299,300,2024-05-29,Sur,Tienda C,Lácteos,Yogurt,15,21.61,324.15,2024
300,301,2024-12-02,Sur,Tienda B,Frutas,Mango,5,31.4,157.0,2024
301,302,2024-07-08,Norte,Tienda A,Carnes,Cerdo,2,40.45,80.9,2024
302,303,2023-06-21,Norte,Tienda B,Bebidas,Pepsi,7,7.68,53.76,2023
303,304,2023-10-02,Norte,Tienda A,Verduras,Papa,2,18.18,36.36,2023
304,305,2024-04-28,Sur,Tienda A,Verduras,Papa,2,32.2,64.4,2024
305,306,2023-10-12,Norte,Tienda D,Bebidas,Coca-Cola,15,22.44,336.6,2023
306,307,2023-04-14,Este,Tienda C,Verduras,Zanahoria,2,18.06,36.12,2023
307,308,2024-10-20,Sur,Tienda D,Frutas,Banano,6,23.09,138.54,2024
308,309,2023-09-18,Norte,Tienda C,Verduras,Papa,15,20.43,306.45,2023
309,310,2023-11-23,Este,Tienda D,Bebidas,Jugo de Naranja,10,43.26,432.6,2023
310,311,2023-07-22,Norte,Tienda D,Carnes,Pescado,5,40.03,200.15,2023
